trialId,pointId,time,x_left,y_left,pupil_left,x_right,y_right,pupil_right
7,1,8051891,648.7,530.1,659.0,632.9,525.0,583.0
7,1,8051907,650.7,526.6,662.0,635.9,523.1,589.0
7,1,8051924,646.6,525.2,667.0,638.6,536.5,602.0
7,1,8051940,646.1,512.3,661.0,637.9,530.6,608.0
7,1,8051957,647.0,524.4,676.0,638.6,535.8,616.0
7,1,8051974,645.3,526.5,684.0,637.8,541.6,619.0
7,1,8051990,645.6,525.2,686.0,640.0,536.1,623.0
7,1,8052007,641.8,517.7,691.0,637.2,535.5,627.0
7,1,8052024,644.6,530.1,696.0,637.6,535.9,623.0
7,1,8052040,642.4,528.4,702.0,637.7,525.0,622.0
7,1,8052057,705.8,547.2,708.0,700.9,547.6,633.0
7,1,8052074,718.7,563.5,717.0,707.2,555.1,629.0
7,1,8052090,719.2,555.3,716.0,707.2,557.5,634.0
7,1,8052107,716.1,550.8,716.0,707.5,557.9,640.0
7,1,8052124,715.6,552.5,725.0,712.0,557.6,643.0
7,1,8052140,715.4,553.4,728.0,711.3,557.3,648.0
7,1,8052157,714.5,542.3,729.0,711.9,559.4,653.0
7,1,8052174,714.1,539.9,731.0,709.3,558.8,656.0
7,1,8052190,713.3,545.1,738.0,711.1,557.8,653.0
7,1,8052207,715.0,544.4,740.0,712.3,561.1,656.0
7,1,8052224,713.8,538.7,742.0,711.5,557.2,661.0
7,1,8052240,714.9,539.2,747.0,711.5,561.5,663.0
7,1,8052257,711.7,543.7,748.0,712.1,560.7,664.0
7,1,8052273,713.2,542.0,751.0,712.4,561.7,668.0
7,1,8052290,712.0,536.2,752.0,709.7,564.5,669.0
7,1,8052307,711.9,536.1,750.0,711.3,561.8,666.0
7,1,8052323,711.4,539.0,756.0,709.5,558.5,669.0
7,1,8052340,711.4,536.6,754.0,708.2,558.9,669.0
7,1,8052357,712.1,535.5,755.0,708.0,559.2,672.0
7,1,8052373,713.7,535.8,757.0,708.8,558.5,672.0
7,1,8052390,711.5,541.0,755.0,708.3,555.4,666.0
7,1,8052407,712.9,542.0,748.0,709.0,556.0,663.0
7,1,8052423,712.3,541.4,745.0,709.0,558.9,666.0
7,1,8052440,711.4,540.0,743.0,708.3,558.9,660.0
7,1,8052457,711.5,541.5,737.0,708.3,558.2,649.0
7,1,8052473,713.0,543.4,732.0,710.9,560.5,649.0
7,1,8052490,712.3,542.8,726.0,714.2,564.1,648.0
7,1,8052507,713.2,547.7,724.0,710.8,562.2,647.0
7,1,8052523,714.3,549.4,715.0,712.6,565.9,640.0
7,1,8052540,714.9,552.3,712.0,711.9,565.9,641.0
7,1,8052557,715.4,556.9,714.0,710.1,565.3,638.0
7,1,8052573,716.1,563.2,718.0,711.0,569.6,639.0
7,1,8052590,714.4,556.3,711.0,710.9,567.4,636.0
7,1,8052606,715.0,556.4,712.0,710.6,564.0,637.0
7,1,8052623,718.1,558.4,710.0,709.5,562.1,635.0
7,1,8052640,717.4,560.6,707.0,709.1,562.4,634.0
7,1,8052656,714.1,557.6,709.0,709.3,563.4,631.0
7,1,8052673,712.1,557.2,707.0,708.9,565.2,632.0
7,1,8052690,714.8,559.1,713.0,708.0,562.3,635.0
7,1,8052706,713.6,558.2,712.0,709.2,562.4,635.0
7,1,8052723,713.1,555.5,715.0,710.1,566.0,639.0
7,1,8052740,712.2,556.9,717.0,711.0,563.9,643.0
7,1,8052756,714.6,556.3,719.0,710.0,565.5,649.0
7,1,8052773,712.5,556.8,726.0,711.4,564.6,656.0
7,1,8052790,715.2,557.7,728.0,709.3,565.4,652.0
7,1,8052806,716.7,553.3,725.0,708.6,565.4,655.0
7,1,8052823,717.1,558.5,732.0,707.7,568.6,660.0
7,1,8052840,716.5,557.6,734.0,707.1,567.7,660.0
7,1,8052856,718.5,553.5,731.0,709.1,563.4,656.0
7,1,8052873,719.5,557.5,740.0,707.2,566.5,667.0
7,1,8052889,716.9,561.9,740.0,707.5,570.8,666.0
7,1,8052906,715.0,563.2,740.0,707.6,570.5,666.0
7,1,8052923,715.3,564.8,740.0,707.4,570.2,670.0
7,1,8052939,715.8,564.4,744.0,709.2,570.0,669.0
7,1,8052956,714.8,565.1,744.0,708.9,573.4,667.0
7,1,8052973,713.9,563.7,747.0,709.2,573.9,669.0
7,1,8052989,713.1,567.7,745.0,709.2,572.1,674.0
7,1,8053006,712.0,566.2,743.0,710.7,569.3,676.0
7,1,8053023,713.9,568.2,746.0,710.5,574.2,680.0
7,1,8053039,714.9,567.1,741.0,710.1,572.5,677.0
7,1,8053056,714.0,566.3,744.0,711.4,569.2,678.0
7,1,8053073,713.0,564.9,742.0,712.4,566.7,676.0
7,1,8053089,715.3,560.4,737.0,712.6,565.7,675.0
7,1,8053106,716.8,555.4,733.0,710.8,563.6,677.0
7,1,8053123,716.0,554.0,734.0,710.9,565.7,673.0
7,1,8053139,715.9,553.3,734.0,712.4,565.1,675.0
7,1,8053156,718.5,556.0,737.0,710.9,567.3,681.0
7,1,8053173,714.9,554.0,734.0,712.2,567.0,676.0
7,1,8053189,715.4,556.2,732.0,710.5,567.9,677.0
7,1,8053206,713.7,564.2,732.0,710.0,569.9,678.0
7,1,8053223,713.5,563.4,729.0,709.7,574.4,673.0
7,1,8053239,715.6,565.4,731.0,709.9,574.6,675.0
